"ulb","connectionno"
"Bhawanipatna","WS/BWP/2208730"
"Phulbani","WS/PLB/2208617"
"Nilgiri","WS/NLG/2208133"
"Puri","WS/PRI/2208134"
"Bhawanipatna","WS/BWP/2208729"
"Phulbani","WS/PLB/2208619"
"Phulbani","WS/PLB/2208620"
"Nilgiri","WS/NLG/2208135"
"Puri","WS/PRI/2208138"
"Bhawanipatna","WS/BWP/2208728"
"Phulbani","WS/PLB/2208621"
"Phulbani","WS/PLB/2208622"
"Bhawanipatna","WS/BWP/2208719"
"Phulbani","WS/PLB/2208623"
"Phulbani","WS/PLB/2208626"
"Nilgiri","WS/NLG/2208136"
"Phulbani","WS/PLB/2208624"
"Phulbani","WS/PLB/2208627"
"Bhawanipatna","WS/BWP/2208354"
"Bhubaneswar","WS/BMC/2206604"
"Nilgiri","WS/NLG/2208139"
"Puri","WS/PRI/2206454"
"Phulbani","WS/PLB/2208628"
"Phulbani","WS/PLB/2208630"
"Puri","WS/PRI/2208153"
"Phulbani","WS/PLB/2208631"
"Phulbani","WS/PLB/2208634"
"Nilgiri","WS/NLG/2208141"
"Bhawanipatna","WS/BWP/2208724"
"Bhubaneswar","WS/BMC/2208148"
"Phulbani","WS/PLB/2208632"
"Nilgiri","WS/NLG/2208144"
"Phulbani","WS/PLB/2208638"
"Nilgiri","WS/NLG/2208145"
"Phulbani","WS/PLB/2208639"
"Phulbani","WS/PLB/2208641"
"Phulbani","WS/PLB/2208642"
"Puri","WS/PRI/2206459"
"Dhenkanal","WS/DKN/2208146"
"Phulbani","WS/PLB/2208643"
"Bhawanipatna","WS/BWP/2208727"
"Nilgiri","WS/NLG/2208147"
"Phulbani","WS/PLB/2208645"
"Puri","WS/PRI/2206465"
"Phulbani","WS/PLB/2208646"
"Phulbani","WS/PLB/2208647"
"Bhawanipatna","WS/BWP/2208700"
"Bhawanipatna","WS/BWP/2208720"
"Nilgiri","WS/NLG/2208149"
"Bhubaneswar","WS/BMC/2208180"
"Phulbani","WS/PLB/2208651"
"Phulbani","WS/PLB/2208650"
"Bhawanipatna","WS/BWP/2208688"
"Puri","WS/PRI/2206468"
"Phulbani","WS/PLB/2208652"
"Phulbani","WS/PLB/2208653"
"Puri","WS/PRI/2206474"
"Phulbani","WS/PLB/2208655"
"Nilgiri","WS/NLG/2208155"
"Bhawanipatna","WS/BWP/2208677"
"Puri","WS/PRI/2206478"
"Bhawanipatna","WS/BWP/2208659"
"Bhawanipatna","WS/BWP/2208668"
"Phulbani","WS/PLB/2208660"
"Phulbani","WS/PLB/2208662"
"Puri","WS/PRI/2208161"
"Bhubaneswar","WS/BMC/2208203"
"Phulbani","WS/PLB/2208661"
"Nilgiri","WS/NLG/2208157"
"Phulbani","WS/PLB/2208663"
"Phulbani","WS/PLB/2208664"
"Phulbani","WS/PLB/2208665"
"Nilgiri","WS/NLG/2208159"
"Phulbani","WS/PLB/2208666"
"Bhawanipatna","WS/BWP/2208657"
"Phulbani","WS/PLB/2208667"
"Puri","WS/PRI/2206479"
"Phulbani","WS/PLB/2208669"
"Nilgiri","WS/NLG/2208163"
"Phulbani","WS/PLB/2208670"
"Phulbani","WS/PLB/2208671"
"Phulbani","WS/PLB/2208672"
"Phulbani","WS/PLB/2208673"
"Phulbani","WS/PLB/2208674"
"Phulbani","WS/PLB/2208676"
"Phulbani","WS/PLB/2208678"
"Phulbani","WS/PLB/2208679"
"Phulbani","WS/PLB/2208680"
"Phulbani","WS/PLB/2208681"
"Phulbani","WS/PLB/2208682"
"Nilgiri","WS/NLG/2208169"
"Nilgiri","WS/NLG/2208167"
"Bhawanipatna","WS/BWP/2208654"
"Nilgiri","WS/NLG/2208171"
"Bhawanipatna","WS/BWP/2208640"
"Nilgiri","WS/NLG/2208172"
"Bhawanipatna","WS/BWP/2208636"
"Bhawanipatna","WS/BWP/2208629"
"Nilgiri","WS/NLG/2208174"
"Nilgiri","WS/NLG/2208176"
"Nilgiri","WS/NLG/2208175"
"Nilgiri","WS/NLG/2208178"
"Nilgiri","WS/NLG/2208182"
