"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Kendrapara","WS_AP/KND/2021-22/2172266","CONNECTION_ACTIVATED","WS/KND/2170746","2022-01-12","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172207","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172206","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172205","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172204","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172202","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172201","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172200","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172268","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172262","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172199","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172198","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172197","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172196","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172265","PENDING_FOR_PAYMENT",NULL,"2022-01-12","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172195","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172194","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172193","PENDING_FOR_PAYMENT",NULL,"2022-01-11","2022-01-12","New Connection"
