"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2172212","CONNECTION_ACTIVATED","WS/PRS/2096416","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172216","CONNECTION_ACTIVATED","WS/PRS/2096317","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172219","CONNECTION_ACTIVATED","WS/PRS/2096236","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172209","CONNECTION_ACTIVATED","WS/PRS/2095960","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172233","CONNECTION_ACTIVATED","WS/PRS/2094532","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172235","CONNECTION_ACTIVATED","WS/PRS/2094513","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172224","CONNECTION_ACTIVATED","WS/PRS/2094084","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172239","CONNECTION_ACTIVATED","WS/PRS/2096550","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172226","CONNECTION_ACTIVATED","WS/PRS/2094560","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172243","CONNECTION_ACTIVATED","WS/PRS/2094247","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172230","CONNECTION_ACTIVATED","WS/PRS/2094529","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172241","CONNECTION_ACTIVATED","WS/PRS/2093896","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172251","CONNECTION_ACTIVATED","WS/PRS/2094105","2022-01-12","2022-01-12","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172236","CONNECTION_ACTIVATED","WS/PRS/2094077","2022-01-12","2022-01-12","Modify Connection"
