root@kafka-v2-0:/# kafka-consumer-groups --bootstrap-server  kafka-v2.kafka-cluster:9092 --group egov-infra-persist  -describe

TOPIC                               PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                     HOST            CLIENT-ID
save-tl-tradelicense                0          1029            1029            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-mr-dscdetails                0          112             112             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-wf-businessservice           0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-fsm-billing-slab               0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
user-events-lat                     0          949             949             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-landinfo                     0          691             691             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pt-billingslab               0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-user-events                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-demand                       0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pt-property                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-sw-workflow                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-vehicle-application            0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-upload-jobs                    0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-tl-tradelicense              0          1816            1816            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-property-doc-registry        0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
ws-create-installments              0          526             526             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-sw-filestoreids                0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
ws-update-installments              0          2289            2289            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-property-registry              0          185             185             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
bulk-bill-generation-audit          0          22908           22908           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-mr-calculation                 0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-plant-map-application          0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-ws-meter                       0          1968            1968            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pt-assessment                  0          18886           18886           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pg-txns-dump                   0          1684            1684            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-tl-calculation                 0          5046            5046            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-mr-marriageregistration      0          1192            1192            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pt-drafts                    0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-tl-adhoc-tradelicense        0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pt-property                    0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-pt-assessment                0          498             498             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-hrms-employee                0          35              35              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-fn-firenoc                     0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-tl-workflow                  0          3086            3086            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-ws-connection                0          24859           24859           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-bpa-buildingplan               0          97              97              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-noc-application                0          5               5               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-fsm-application-1              0          157             157             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-demand-response      0          10283           10283           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-bill-request         0          36444           36444           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-mr-workflow                  0          486             486             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pgr-service                    0          62              62              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
cancel-pt-property                  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-fsm-application              0          236             236             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-ws-meter                     0          21              21              0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-ws-workflow                  0          1865            1865            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
update-tl-billingslab               0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-apportion-demand-request       0          10351           10351           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
PDF_GEN_CREATE                      0          31822           31822           0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
