"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Sambalpur","WS_AP/SMB/2021-22/2174081","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Sambalpur","WS_AP/SMB/2021-22/2174082","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174080","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174079","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Sambalpur","WS_AP/SMB/2021-22/2174078","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Balangir","WS_AP/BLR/2021-22/2173783","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Sambalpur","WS_AP/SMB/2021-22/2174076","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174075","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Balangir","WS_AP/BLR/2021-22/2173803","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","04"
"Balangir","WS_AP/BLR/2021-22/2173809","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","03"
"Balangir","WS_AP/BLR/2021-22/2173813","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","05"
"Balangir","WS_AP/BLR/2021-22/2173820","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","05"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174073","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174074","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Balangir","WS_AP/BLR/2021-22/2173825","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","21"
"Balangir","WS_AP/BLR/2021-22/2173831","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","21"
"Balangir","WS_AP/BLR/2021-22/2173840","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2173844","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174072","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Balangir","WS_AP/BLR/2021-22/2173851","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174071","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Balangir","WS_AP/BLR/2021-22/2173906","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174070","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174067","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2173914","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2174038","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2174043","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2174049","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Balangir","WS_AP/BLR/2021-22/2174055","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174066","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Balangir","WS_AP/BLR/2021-22/2174060","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174063","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Sambalpur","WS_AP/SMB/2021-22/2174062","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174061","INITIATED",NULL,"2022-01-19","2022-01-19","New Connection","01"
"Sambalpur","WS_AP/SMB/2021-22/2174058","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174057","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","17"
"Sambalpur","WS_AP/SMB/2021-22/2174056","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174053","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","03"
